Humidity,Pressure,Temperature
74,982,55.55813962176331
77,989,57.87900927667222
94,966,65.01948233650558
97,1002,66.05746072095421
97,1040,73.28685718126441
39,1030,37.25617564250182
51,996,43.53380963089645
66,1046,56.22014283893501
42,1044,43.348743564177575
88,1034,67.42996306425198
95,973,68.43275989870303
69,965,55.277522251114895
76,994,58.763068018093726
67,1033,55.58916837336493
55,1005,50.97056922830805
39,1048,43.775493823845736
50,977,45.322172323923915
99,995,68.20102176198382
77,1048,58.56467864167485
94,1031,69.8840568345499
79,1037,59.62248288776353
59,977,52.28244785786635
49,1027,45.96707953045648
49,998,44.936961269761476
44,1037,39.383111643955786
69,1044,53.85658011669178
62,955,51.249704723470714
95,1047,66.2327270579271
39,1048,41.05213284746413
87,978,61.51602764229072
62,1015,52.349924018076784
61,1018,52.7226380844213
53,1035,43.54775843866922
65,1022,50.35802843751994
85,983,65.0652660719653
58,1049,46.518830358676986
64,998,51.696250816505604
30,1049,35.64649144743625
30,1039,35.96490941653901
66,1019,49.037526263805894
83,1015,64.5769479991745
35,1049,40.02865020523213
68,1021,56.29859752474179
47,951,43.40585179127761
34,951,34.596211374991256
72,1021,58.47680231636984
88,975,67.81072557781971
61,1027,49.85914043142343
31,1000,36.09877414214673
95,977,65.66175895861254
71,1046,55.35186305591295
87,993,64.3844484059759
65,969,53.0915633835725
41,1048,36.314581679746325
76,995,60.68877979345331
30,1030,35.15174717295901
44,993,41.10345707602142
83,1017,60.97235151725236
42,958,44.214730866505
72,1033,57.32870705856531
98,996,70.06279296721523
36,1014,38.206219378774264
98,970,69.96418146715455
77,1046,57.87622260232435
33,1048,37.814186189675425
82,955,62.21247996204151
45,1035,47.73871911610422
50,974,42.41424224128104
88,952,66.24860540475602
53,1021,42.7814732899006
43,1025,38.43201129432873
78,978,55.582225882140506
79,1045,59.2491100690649
99,1015,70.35218703933668
71,1030,56.61832455544668
65,1032,52.64785824588308
94,964,64.76985608283009
99,971,70.79313103677111
30,1019,36.71283654048635
80,983,59.276032221819904
66,952,52.8867352165781
64,977,53.89536425922069
78,969,62.07734165263133
33,965,34.32767515434554
72,1021,56.98105258591491
51,979,45.60254202888965
30,985,32.581257067243406
40,1047,39.84474628114729
73,998,57.68128510236306
88,999,65.36342684204055
53,1030,47.83859475942436
89,1006,64.64574469609155
32,1013,34.948003796879675
92,1038,67.41937208372566
65,1008,48.787789221173426
97,955,70.79640707307759
76,1001,59.00706123270455
50,1011,45.78284434929953
80,1033,61.77481774226597
57,967,48.700355340464256
44,995,36.67080628667162
71,1046,57.38021157196064
88,1012,62.74242722915507
95,972,64.84520038972508
66,1047,53.709895285046734
40,959,39.67798952793721
73,955,55.16043212821239
41,1026,41.45946386413149
32,1011,34.90983225060963
81,992,58.75616497906767
62,966,49.88018028730292
84,1009,62.756273806175244
30,967,35.47218787615291
68,1018,55.45351228688714
49,1010,46.11276110294897
76,975,55.85561926992004
72,964,54.026798751430896
86,1011,61.4370102195936
90,1003,64.3288442624988
60,1031,49.87554128093066
54,979,44.596128777779505
32,1020,36.30624088952502
33,978,34.57356202089879
43,1024,38.36946264224666
70,955,53.9598119729109
49,1034,44.583111385754016
56,1005,48.07111139543846
96,1000,66.17405694690136
82,1036,62.57347967599625
97,1003,69.43308911454034
91,960,65.05986440102829
44,993,40.36849562288914
34,1009,36.185600684698
97,980,69.36976185193666
41,1009,41.500398349186234
86,964,62.829907072007664
46,998,42.75632231237393
54,1006,47.278774695875846
59,1015,51.272668870068586
51,957,41.73070257899831
55,1019,50.90928371905112
90,965,62.5765129358809
91,1002,63.57028143742724
63,982,50.302551303787126
62,1037,53.16273158859206
61,1028,50.36659568604267
43,984,39.80486961572891
86,979,64.33018501041254
54,1001,45.7849898876709
71,1039,56.772947885389655
48,1003,44.52051263293399
70,954,56.44106233593478
84,1014,66.91901778638206
41,976,39.13702679835343
68,1034,50.09011652900721
31,955,38.90891428568937
74,1038,56.401650466701
54,967,47.43516834618104
97,1018,68.34780717698504
33,1006,34.14890453418275
65,982,51.10436645060826
91,1031,65.68409917980598
99,1022,70.83594054675325
73,1023,58.09631035361618
62,981,51.39699614735685
41,1044,41.45119776577227
40,1023,38.911724771871484
84,998,59.207184459414826
67,1049,55.813157123019764
58,982,47.34520544797016
